entity_id,state,last_changed
sensor.shellypro3em_leistung,13.811,2026-06-06T22:43:55.617Z
sensor.shellypro3em_leistung,-4.323,2026-06-06T22:44:01.581Z
sensor.shellypro3em_leistung,-17.395,2026-06-06T22:44:06.575Z
sensor.shellypro3em_leistung,-4.492,2026-06-06T22:44:11.589Z
sensor.shellypro3em_leistung,8.041,2026-06-06T22:44:20.601Z
sensor.shellypro3em_leistung,-0.555,2026-06-06T22:44:27.565Z
sensor.shellypro3em_leistung,-8.495,2026-06-06T22:44:32.563Z
sensor.shellypro3em_leistung,1.985,2026-06-06T22:44:40.572Z
sensor.shellypro3em_leistung,120.618,2026-06-06T22:44:46.562Z
sensor.shellypro3em_leistung,58.711,2026-06-06T22:44:52.559Z
sensor.shellypro3em_leistung,31.997,2026-06-06T22:44:58.558Z
sensor.shellypro3em_leistung,7.082,2026-06-06T22:45:03.559Z
sensor.shellypro3em_leistung,-10.262,2026-06-06T22:45:09.553Z
sensor.shellypro3em_leistung,-3.045,2026-06-06T22:45:25.571Z
sensor.shellypro3em_leistung,9.454,2026-06-06T22:45:41.573Z
sensor.shellypro3em_leistung,1.615,2026-06-06T22:45:57.591Z
sensor.shellypro3em_leistung,-16.452,2026-06-06T22:46:02.576Z
sensor.shellypro3em_leistung,-4.323,2026-06-06T22:46:12.564Z
sensor.shellypro3em_leistung,9.471,2026-06-06T22:46:17.571Z
sensor.shellypro3em_leistung,-10.228,2026-06-06T22:46:29.572Z
sensor.shellypro3em_leistung,11.355,2026-06-06T22:46:44.580Z
sensor.shellypro3em_leistung,-5.837,2026-06-06T22:46:50.583Z
sensor.shellypro3em_leistung,4.458,2026-06-06T22:47:05.588Z
sensor.shellypro3em_leistung,-5.299,2026-06-06T22:47:20.709Z
sensor.shellypro3em_leistung,2.944,2026-06-06T22:47:26.591Z
sensor.shellypro3em_leistung,-10.968,2026-06-06T22:47:32.592Z
sensor.shellypro3em_leistung,9.74,2026-06-06T22:47:37.593Z
sensor.shellypro3em_leistung,-13.475,2026-06-06T22:47:47.596Z
sensor.shellypro3em_leistung,4.374,2026-06-06T22:47:56.598Z
sensor.shellypro3em_leistung,-6.359,2026-06-06T22:48:11.620Z
sensor.shellypro3em_leistung,3.465,2026-06-06T22:48:27.610Z
sensor.shellypro3em_leistung,-5.888,2026-06-06T22:48:43.606Z
sensor.shellypro3em_leistung,4.34,2026-06-06T22:48:59.615Z
sensor.shellypro3em_leistung,15.443,2026-06-06T22:49:06.600Z
sensor.shellypro3em_leistung,0.252,2026-06-06T22:49:11.600Z
